市场代码,合约代码,时间,开,高,低,收,成交量,成交额,持仓量
SC,rb2005,2020-01-02 09:01:00,3584.0,3593.0,3584.0,3586.0,45354.0,1627411580.0,1472644.0
SC,rb2005,2020-01-02 09:02:00,3587.0,3592.0,3587.0,3589.0,16802.0,603079650.0,1473578.0
SC,rb2005,2020-01-02 09:03:00,3589.0,3591.0,3584.0,3589.0,16000.0,573968760.0,1473200.0
SC,rb2005,2020-01-02 09:04:00,3590.0,3590.0,3587.0,3589.0,7804.0,280059370.0,1472773.0
SC,rb2005,2020-01-02 09:05:00,3588.0,3589.0,3586.0,3587.0,5538.0,198681110.0,1473048.0
SC,rb2005,2020-01-02 09:06:00,3586.0,3587.0,3581.0,3583.0,12381.0,443726420.0,1473328.0
SC,rb2005,2020-01-02 09:07:00,3582.0,3583.0,3578.0,3578.0,13505.0,483505420.0,1472641.0
SC,rb2005,2020-01-02 09:08:00,3577.0,3582.0,3577.0,3582.0,9001.0,322235380.0,1472256.0
SC,rb2005,2020-01-02 09:09:00,3581.0,3582.0,3576.0,3577.0,8968.0,320880850.0,1473089.0
SC,rb2005,2020-01-02 09:10:00,3577.0,3579.0,3576.0,3576.0,4532.0,162143590.0,1473011.0
SC,rb2005,2020-01-02 09:11:00,3576.0,3580.0,3575.0,3580.0,7332.0,262257930.0,1473080.0
SC,rb2005,2020-01-02 09:12:00,3579.0,3582.0,3578.0,3582.0,6546.0,234316790.0,1472670.0
SC,rb2005,2020-01-02 09:13:00,3582.0,3582.0,3580.0,3582.0,3590.0,128564670.0,1473273.0
SC,rb2005,2020-01-02 09:14:00,3582.0,3586.0,3582.0,3585.0,6995.0,250732340.0,1473230.0
SC,rb2005,2020-01-02 09:15:00,3585.0,3586.0,3584.0,3585.0,4790.0,171717130.0,1474149.0
SC,rb2005,2020-01-02 09:16:00,3584.0,3587.0,3584.0,3587.0,7689.0,275758980.0,1474170.0
SC,rb2005,2020-01-02 09:17:00,3587.0,3588.0,3586.0,3588.0,4406.0,158052070.0,1474535.0
SC,rb2005,2020-01-02 09:18:00,3587.0,3588.0,3585.0,3585.0,3794.0,136056550.0,1475618.0
SC,rb2005,2020-01-02 09:19:00,3585.0,3585.0,3583.0,3585.0,2410.0,86376070.0,1475845.0
SC,rb2005,2020-01-02 09:20:00,3585.0,3585.0,3583.0,3584.0,2303.0,82539400.0,1476057.0
SC,rb2005,2020-01-02 09:21:00,3584.0,3585.0,3583.0,3584.0,1793.0,64257400.0,1476290.0
SC,rb2005,2020-01-02 09:22:00,3585.0,3588.0,3584.0,3587.0,4559.0,163512690.0,1477112.0
SC,rb2005,2020-01-02 09:23:00,3587.0,3588.0,3586.0,3586.0,3080.0,110473370.0,1477051.0
SC,rb2005,2020-01-02 09:24:00,3586.0,3588.0,3586.0,3588.0,2782.0,99783720.0,1477764.0
SC,rb2005,2020-01-02 09:25:00,3588.0,3589.0,3586.0,3587.0,4204.0,150838490.0,1478984.0
SC,rb2005,2020-01-02 09:26:00,3587.0,3587.0,3585.0,3586.0,1866.0,66911690.0,1479052.0
SC,rb2005,2020-01-02 09:27:00,3585.0,3585.0,3582.0,3585.0,4182.0,149849810.0,1479191.0
SC,rb2005,2020-01-02 09:28:00,3584.0,3585.0,3584.0,3585.0,1177.0,42188940.0,1479121.0
SC,rb2005,2020-01-02 09:29:00,3585.0,3585.0,3583.0,3583.0,1967.0,70500580.0,1479309.0
SC,rb2005,2020-01-02 09:30:00,3583.0,3585.0,3583.0,3584.0,2128.0,76267440.0,1479450.0
