市场代码,合约代码,时间,开,高,低,收,成交量,成交额,持仓量
SC,rb2005,2020-03-02 09:01:00,3321.0,3358.0,3321.0,3358.0,60767.0,2031943830.0,1490723.0
SC,rb2005,2020-03-02 09:02:00,3357.0,3357.0,3346.0,3352.0,42721.0,1431910230.0,1495636.0
SC,rb2005,2020-03-02 09:03:00,3351.0,3353.0,3337.0,3337.0,23531.0,787249450.0,1494344.0
SC,rb2005,2020-03-02 09:04:00,3338.0,3344.0,3337.0,3341.0,15790.0,527546290.0,1495900.0
SC,rb2005,2020-03-02 09:05:00,3340.0,3351.0,3340.0,3349.0,17710.0,592815860.0,1495673.0
SC,rb2005,2020-03-02 09:06:00,3348.0,3353.0,3345.0,3349.0,12051.0,403605080.0,1497901.0
SC,rb2005,2020-03-02 09:07:00,3348.0,3350.0,3345.0,3349.0,7889.0,264125830.0,1499273.0
SC,rb2005,2020-03-02 09:08:00,3349.0,3354.0,3347.0,3354.0,10650.0,356927120.0,1500522.0
SC,rb2005,2020-03-02 09:09:00,3353.0,3363.0,3353.0,3361.0,26925.0,904452140.0,1505271.0
SC,rb2005,2020-03-02 09:10:00,3362.0,3364.0,3357.0,3363.0,25370.0,852556450.0,1501108.0
SC,rb2005,2020-03-02 09:11:00,3363.0,3368.0,3362.0,3366.0,24801.0,834661300.0,1500149.0
SC,rb2005,2020-03-02 09:12:00,3366.0,3373.0,3365.0,3369.0,25892.0,872618390.0,1496759.0
SC,rb2005,2020-03-02 09:13:00,3369.0,3377.0,3367.0,3376.0,23087.0,778747670.0,1494381.0
SC,rb2005,2020-03-02 09:14:00,3376.0,3383.0,3373.0,3374.0,32348.0,1092666970.0,1486112.0
SC,rb2005,2020-03-02 09:15:00,3375.0,3381.0,3369.0,3381.0,19228.0,648760320.0,1485534.0
SC,rb2005,2020-03-02 09:16:00,3380.0,3382.0,3371.0,3373.0,19621.0,662720170.0,1484443.0
SC,rb2005,2020-03-02 09:17:00,3373.0,3378.0,3372.0,3373.0,11391.0,384376580.0,1485250.0
SC,rb2005,2020-03-02 09:18:00,3374.0,3374.0,3370.0,3371.0,7659.0,258244410.0,1485250.0
SC,rb2005,2020-03-02 09:19:00,3372.0,3376.0,3371.0,3374.0,5783.0,195105030.0,1485059.0
SC,rb2005,2020-03-02 09:20:00,3374.0,3376.0,3371.0,3372.0,5255.0,177312330.0,1485270.0
SC,rb2005,2020-03-02 09:21:00,3372.0,3376.0,3372.0,3375.0,4042.0,136394700.0,1485968.0
